Date,Close,Volume,Open,High,Low
22-04-2019,123.76,14825150,122.62,124,122.57
23-04-2019,125.44,23539620,124.1,125.58,123.83
24-04-2019,125.01,29919920,125.79,125.85,124.52
25-04-2019,129.15,37927120,130.06,131.37,128.83
26-04-2019,129.89,23306180,129.7,130.5152,129.02
29-04-2019,129.77,16179580,129.9,130.18,129.35
30-04-2019,130.6,24041490,129.81,130.7,129.3947
01-05-2019,127.88,26821690,130.53,130.65,127.7
02-05-2019,126.21,27350160,127.98,128,125.52
03-05-2019,128.9,24911130,127.36,129.43,127.25
06-05-2019,128.15,24239460,126.39,128.56,126.11
07-05-2019,125.52,36017660,126.46,127.18,124.22
08-05-2019,125.51,28419000,125.44,126.37,124.75
09-05-2019,125.5,27235840,124.29,125.79,123.57
10-05-2019,127.13,30915080,124.91,127.93,123.82
13-05-2019,123.35,33944920,124.11,125.55,123.04
14-05-2019,124.73,25266320,123.87,125.88,123.7
15-05-2019,126.02,24722710,124.26,126.71,123.7
16-05-2019,128.93,30112220,126.75,129.38,126.46
17-05-2019,128.07,25770540,128.305,130.46,127.92
20-05-2019,126.22,23706930,126.52,127.5894,125.7607
21-05-2019,126.9,15293260,127.43,127.5273,126.58
22-05-2019,127.67,15396490,126.62,128.24,126.52
23-05-2019,126.18,23603810,126.2,126.29,124.74
24-05-2019,126.24,14123360,126.91,127.415,125.97
28-05-2019,126.16,23128360,126.98,128,126.05
29-05-2019,124.94,22763140,125.38,125.39,124.04
30-05-2019,125.73,16829610,125.26,125.76,124.78
31-05-2019,123.68,26646770,124.23,124.615,123.32
03-06-2019,119.84,37983640,123.85,124.37,119.01
04-06-2019,123.16,29382640,121.28,123.28,120.6522
05-06-2019,125.83,24926140,124.95,125.87,124.21
06-06-2019,127.82,21458960,126.44,127.97,125.6
07-06-2019,131.4,33885590,129.19,132.25,128.26
10-06-2019,132.6,26477100,132.4,134.08,132
11-06-2019,132.1,23913730,133.88,134.24,131.2757
12-06-2019,131.49,17092460,131.4,131.97,130.71
13-06-2019,132.32,17200850,131.98,132.67,131.56
14-06-2019,132.45,17821700,132.26,133.79,131.64
17-06-2019,132.85,14517790,132.63,133.73,132.53
18-06-2019,135.16,25934460,134.19,135.24,133.57
19-06-2019,135.69,23744440,135,135.93,133.81
20-06-2019,136.95,33042590,137.45,137.66,135.72
21-06-2019,136.97,36727890,136.58,137.73,136.46
24-06-2019,137.78,20628840,137,138.4,137
25-06-2019,133.43,33327420,137.25,137.59,132.73
26-06-2019,133.93,23657750,134.35,135.74,133.6
27-06-2019,134.15,16557480,134.14,134.71,133.51
28-06-2019,133.96,30042970,134.57,134.6,133.1558
01-07-2019,135.68,22654160,136.63,136.7,134.97
02-07-2019,136.58,15237840,136.12,136.59,135.34
03-07-2019,137.46,13629300,136.8,137.74,136.295
05-07-2019,137.06,18141140,135.94,137.33,135.72
08-07-2019,136.96,16779750,136.4,137.1,135.3701
09-07-2019,136.46,19953100,136,136.97,135.8
10-07-2019,137.85,24204360,137.13,138.58,137.02
11-07-2019,138.4,22327940,138.2,139.22,137.87
12-07-2019,138.9,18936830,138.85,139.13,138.0099
15-07-2019,138.9,16651460,139.44,139.54,138.46
16-07-2019,137.08,22726130,138.96,139.05,136.52
17-07-2019,136.27,20210960,137.7,137.93,136.22
18-07-2019,136.42,30808710,135.55,136.62,134.67
19-07-2019,136.62,48992360,140.22,140.67,136.45
22-07-2019,138.43,25080760,137.41,139.19,137.33
23-07-2019,139.29,18034590,139.76,139.99,138.03
24-07-2019,140.72,20738280,138.9,140.74,138.85
25-07-2019,140.19,18356880,140.43,140.61,139.3215
26-07-2019,141.34,19037600,140.37,141.675,140.3
29-07-2019,141.03,16605870,141.5,141.51,139.3663
30-07-2019,140.35,16846530,140.14,141.2199,139.8005
31-07-2019,136.27,38598790,140.33,140.49,135.08
01-08-2019,138.06,40557500,137,140.9383,136.93
02-08-2019,136.9,30791620,138.09,138.32,135.26
05-08-2019,132.21,42749550,133.3,133.9298,130.78
06-08-2019,134.69,32696650,133.8,135.68,133.21
07-08-2019,135.28,33414540,133.79,135.65,131.8284
08-08-2019,138.89,27496510,136.6,138.99,135.93
09-08-2019,137.71,23466700,138.61,139.38,136.46
12-08-2019,135.79,20484350,137.07,137.86,135.24
13-08-2019,138.6,25496590,136.05,138.8,135
14-08-2019,133.98,32527250,136.36,136.92,133.67
15-08-2019,133.68,28125420,134.39,134.58,132.25
16-08-2019,136.13,25026150,134.88,136.46,134.72
19-08-2019,138.41,24370540,137.855,138.55,136.885
20-08-2019,137.26,21189000,138.21,138.71,137.24
21-08-2019,138.79,14982310,138.55,139.4935,138
22-08-2019,137.78,18709660,138.66,139.2,136.29
23-08-2019,133.39,38515390,137.19,138.35,132.8
26-08-2019,135.45,20325270,134.99,135.56,133.9
27-08-2019,135.74,23115640,136.39,136.72,134.66
28-08-2019,135.56,17410830,134.88,135.76,133.55
29-08-2019,138.12,20179720,137.25,138.44,136.91
30-08-2019,137.86,23946120,139.15,139.18,136.27
03-09-2019,136.04,18880770,136.61,137.2,135.7
04-09-2019,137.63,18015310,137.3,137.69,136.48
05-09-2019,140.05,26119520,139.11,140.3837,138.76
06-09-2019,139.1,20824500,140.03,140.18,138.2
09-09-2019,137.52,25773930,139.59,139.75,136.46
10-09-2019,136.08,28903380,136.8,136.8862,134.51
11-09-2019,136.12,24726120,135.91,136.27,135.09
12-09-2019,137.52,27009980,137.85,138.42,136.87
13-09-2019,137.32,23363060,137.78,138.06,136.57
16-09-2019,136.33,16731440,135.83,136.7,135.66
17-09-2019,137.39,17976290,136.96,137.52,136.425
18-09-2019,138.52,24473390,137.36,138.67,136.5299
19-09-2019,141.07,36095410,140.3,142.37,140.0736
20-09-2019,139.44,40040770,141.01,141.65,138.25
23-09-2019,139.14,17408370,139.23,139.63,138.44
24-09-2019,137.38,30016670,140.36,140.69,136.88
25-09-2019,139.36,22544050,137.5,139.958,136.03
26-09-2019,139.54,17813510,139.44,140.18,138.44
27-09-2019,137.73,22498960,140.15,140.36,136.645
30-09-2019,139.03,18430390,138.05,139.215,137.78
01-10-2019,137.07,22581930,139.66,140.25,137
02-10-2019,134.65,32001760,136.25,136.37,133.5799
03-10-2019,136.28,26379800,134.95,136.75,133.22
04-10-2019,138.12,23839550,136.75,138.25,136.42
07-10-2019,137.12,16601280,137.14,138.18,137.02
08-10-2019,135.67,26783340,137.08,137.76,135.62
09-10-2019,138.24,20178480,137.46,138.7,136.97
10-10-2019,139.1,18396610,138.49,139.6699,138.25
11-10-2019,139.68,25551070,140.12,141.03,139.5
14-10-2019,139.55,13591640,139.69,140.29,139.52
15-10-2019,141.575,19917760,140.06,141.79,139.81
16-10-2019,140.41,20841690,140.79,140.99,139.53
17-10-2019,139.69,22102800,140.95,141.42,139.02
18-10-2019,137.41,32284430,139.76,140,136.56
21-10-2019,138.43,20716040,138.45,138.5,137.01
22-10-2019,136.37,27935270,138.97,140.01,136.26
23-10-2019,137.24,31380310,136.88,137.45,135.61
24-10-2019,139.94,37278400,139.39,140.42,138.67
25-10-2019,140.73,25959720,139.34,141.14,139.2
28-10-2019,144.19,35280140,144.4,145.67,143.51
29-10-2019,142.83,20589470,144.08,144.5,142.65
30-10-2019,144.61,18496590,143.52,145,142.79
31-10-2019,143.37,24605140,144.9,144.93,142.99
01-11-2019,143.72,33128370,144.26,144.42,142.965
04-11-2019,144.55,16912000,144.83,145,144.16
05-11-2019,144.46,18250170,144.97,145.02,143.905
06-11-2019,144.06,16575800,144.37,144.52,143.2
07-11-2019,144.26,17786720,143.84,144.88,143.77
08-11-2019,145.96,16752940,143.98,145.99,143.76
11-11-2019,146.11,14370180,145.34,146.42,144.73
12-11-2019,147.07,18648710,146.28,147.57,146.06
13-11-2019,147.31,17444230,146.74,147.4625,146.28
14-11-2019,148.06,19755100,147.02,148.41,147
15-11-2019,149.97,23508810,148.93,149.99,148.27
18-11-2019,150.34,21554760,150.07,150.55,148.98
19-11-2019,150.39,23960160,150.88,151.33,150.195
20-11-2019,149.62,25720060,150.31,150.84,148.46
21-11-2019,149.48,18576080,149.4,149.8,148.501
22-11-2019,149.59,15841680,150.07,150.3,148.82
25-11-2019,151.23,22428590,150,151.35,149.92
26-11-2019,152.03,24635100,151.36,152.42,151.32
27-11-2019,152.32,15201290,152.33,152.5,151.52
29-11-2019,151.38,11977300,152.1,152.3,151.28
02-12-2019,149.55,27473620,151.81,151.83,148.32
03-12-2019,149.31,25192150,147.49,149.43,146.65
04-12-2019,149.85,17580620,150.14,150.1799,149.2
05-12-2019,149.93,17880600,150.05,150.32,149.48
06-12-2019,151.75,16410400,150.99,151.87,150.27
09-12-2019,151.36,16741350,151.07,152.21,150.91
10-12-2019,151.13,16481060,151.29,151.89,150.765
11-12-2019,151.7,18860000,151.54,151.87,150.33
12-12-2019,153.24,24645370,151.65,153.44,151.02
13-12-2019,154.53,23850060,153.004,154.89,152.83
16-12-2019,155.53,24152770,155.11,155.9,154.82
17-12-2019,154.69,25443530,155.45,155.71,154.45
18-12-2019,154.37,24132380,154.3,155.48,154.18
19-12-2019,155.71,25813830,154,155.77,153.75
20-12-2019,157.41,53599610,157.35,158.49,156.29
23-12-2019,157.41,17726280,158.12,158.12,157.27
24-12-2019,157.38,8989150,157.48,157.71,157.115
26-12-2019,158.67,14526930,157.56,158.73,157.4
27-12-2019,158.96,18414350,159.45,159.55,158.22
30-12-2019,157.59,16356720,158.987,159.02,156.73
31-12-2019,157.7,18393380,156.77,157.77,156.45
02-01-2020,160.62,22634550,158.78,160.73,158.33
03-01-2020,158.62,21121680,158.32,159.945,158.06
06-01-2020,159.03,20826700,157.08,159.1,156.51
07-01-2020,157.58,21881740,159.32,159.67,157.32
08-01-2020,160.09,27762030,158.93,160.8,157.9491
09-01-2020,162.09,21399950,161.835,162.215,161.03
10-01-2020,161.34,20733950,162.824,163.22,161.18
13-01-2020,163.28,21637010,161.76,163.31,161.26
14-01-2020,162.13,23500780,163.39,163.6,161.72
15-01-2020,163.18,21417870,162.62,163.94,162.57
16-01-2020,166.17,23865360,164.35,166.24,164.03
17-01-2020,167.1,34371660,167.42,167.4675,165.43
21-01-2020,166.5,29517190,166.68,168.19,166.43
22-01-2020,165.7,24138780,167.4,167.49,165.68
23-01-2020,166.72,19680770,166.19,166.8,165.27
24-01-2020,165.04,24918120,167.51,167.53,164.45
27-01-2020,162.28,32078070,161.15,163.375,160.2
28-01-2020,165.46,24899940,163.78,165.755,163.073
29-01-2020,168.04,35127770,167.84,168.75,165.69
30-01-2020,172.78,51597470,174.05,174.05,170.79
31-01-2020,170.23,36142690,172.21,172.4,169.58
03-02-2020,174.38,30149050,170.43,174.5,170.4
04-02-2020,180.12,36433340,177.14,180.64,176.31
05-02-2020,179.9,39186320,184.03,184.2,178.4101
06-02-2020,183.63,27751380,180.97,183.8199,180.059
07-02-2020,183.89,33529070,182.845,185.63,182.48
10-02-2020,188.7,35844270,183.58,188.84,183.25
11-02-2020,184.44,53159910,190.65,190.7,183.5
12-02-2020,184.71,47062920,185.58,185.85,181.85
13-02-2020,183.71,35295830,183.08,186.23,182.872
14-02-2020,185.35,23149520,183.25,185.41,182.65
18-02-2020,187.23,27853110,185.605,187.7,185.5
19-02-2020,187.28,29997470,188.06,188.18,186.47
20-02-2020,184.42,36862380,186.95,187.25,181.1
21-02-2020,178.59,48600390,183.17,183.5,177.25
24-02-2020,170.89,68311070,167.77,174.55,163.23
25-02-2020,168.07,68073300,174.2,174.84,167.6462
26-02-2020,170.17,56387150,169.71,173.26,168.21
27-02-2020,158.18,93174910,163.32,167.03,157.98
28-02-2020,162.01,97073560,152.41,163.71,152
02-03-2020,172.79,71030810,165.31,172.92,162.31
03-03-2020,164.51,71677020,173.8,175,162.26
04-03-2020,170.55,49814380,168.485,170.7,165.62
05-03-2020,166.27,47817250,166.045,170.87,165.69
06-03-2020,161.57,72821060,162.61,163.11,156
09-03-2020,150.62,70419270,151,157.75,150
10-03-2020,160.92,65354390,158.16,161.03,152.58
11-03-2020,153.63,56504300,157.13,157.7,151.15
12-03-2020,139.06,93226370,145.3,153.47,138.58
13-03-2020,158.83,92727450,147.5,161.91,140.73
16-03-2020,135.42,87905870,140,149.35,135
17-03-2020,146.57,81059820,140,147.4998,135
18-03-2020,140.4,81593170,138,146,135.02
19-03-2020,142.71,85922660,142.77,150.15,139
20-03-2020,137.35,84866220,146,147.1,135.86
23-03-2020,135.98,78975180,137.01,140.57,132.52
24-03-2020,148.34,82516730,143.75,149.6,141.27
25-03-2020,146.92,75638220,148.91,154.33,144.44
26-03-2020,156.11,64694430,148.4,156.66,148.37
27-03-2020,149.7,57042290,151.75,154.89,149.2
30-03-2020,160.23,63420330,152.44,160.6,150.01
31-03-2020,157.71,77927190,159.4,164.78,156.56
01-04-2020,152.11,57969930,153,157.75,150.82
02-04-2020,155.26,49630740,151.86,155.48,150.36
03-04-2020,153.83,41243280,155.1,157.38,152.19
06-04-2020,165.27,67111700,160.32,166.5,157.58
07-04-2020,163.49,62769040,169.585,170,163.26
08-04-2020,165.13,48318230,165.67,166.67,163.5
09-04-2020,165.14,51431780,166.36,167.37,163.33
13-04-2020,165.51,41905260,164.35,165.57,162.3
14-04-2020,173.7,52874340,169,173.75,168
15-04-2020,171.88,40940830,171.2,173.57,169.24
16-04-2020,177.04,50479610,174.3,177.28,172.9
17-04-2020,178.6,52765630,179.5,180,175.87
20-04-2020,175.06,36669560,176.63,178.75,174.99
21-04-2020,167.82,56203750,173.5,173.6699,166.1102
22-04-2020,173.52,34651600,171.39,174,170.82
23-04-2020,171.42,32790800,174.11,175.06,170.91
24-04-2020,174.55,34305320,172.06,174.56,170.71
27-04-2020,174.05,33194380,176.59,176.9,173.3
28-04-2020,169.81,34392690,175.59,175.67,169.39
